Date,Close,High,Low,Open,Volume
2024-01-02,14.326030731201172,14.76499043338496,14.216291281364414,14.755013860285699,172400
2024-01-03,13.867118835449219,14.126504027542456,13.68754527673868,13.966882663613811,208400
2024-01-04,13.9369535446167,13.996811078872756,13.64763959193015,13.867118486093496,110600
2024-01-05,13.9369535446167,14.276149410128864,13.827213146116673,13.9369535446167,105800
2024-01-08,13.917000770568848,14.106551854084428,13.727450638471645,13.767355979514129,116300
2024-01-09,14.026741027832031,14.18636239036137,13.79728460563233,13.917000627529333,197200
2024-01-10,14.834824562072754,15.03435126723283,14.475676492784617,14.505605260704034,228800
2024-01-11,14.246219635009766,14.854777256512621,14.166408955373054,14.735061237057556,297800
2024-01-12,14.934588432312012,15.393500331178421,14.635297898022026,14.635297898022026,219400
2024-01-15,14.675203323364258,15.044327968919665,14.64527455518906,14.914635371602623,80300
2024-01-16,14.385889053344727,14.435770966850422,14.136480437234614,14.42579439386561,163500
2024-01-17,14.50560474395752,14.535533510810756,14.09657477509602,14.106551347853213,172200
2024-01-18,14.336007118225098,14.764990241741602,14.286125204794606,14.595392306928956,90900
2024-01-19,14.066646575927734,14.455723414976745,13.996811515227403,14.415818073755863,163700
2024-01-22,13.80726146697998,14.146457345147388,13.767356125514308,13.847166808445653,128500
2024-01-23,14.326030731201172,14.545510582293067,13.966882662393107,13.966882662393107,253100
2024-01-24,13.85714340209961,14.475676671438773,13.827213682392431,14.475676671438773,142700
2024-01-25,13.986835479736328,14.106551499857613,13.737426866629061,13.867118508196688,207000
2024-01-26,14.15643310546875,14.21629159396216,13.976859542825318,14.066646799856233,236100
2024-01-29,14.00678825378418,14.595392757306431,13.787308398768438,14.28612564562887,214600
2024-01-30,13.66759204864502,14.126503942899362,13.627686707901963,14.06664640749396,220600
2024-01-31,13.777332305908203,14.066646261139839,13.577804652850501,13.68754505231591,350900
2024-02-01,14.066646575927734,14.236244513971082,13.847166723503687,13.917000832785638,354200
2024-02-02,13.747403144836426,13.817238206807204,13.418183835920358,13.667592460942737,205500
2024-02-05,13.288491249084473,13.53789987433857,13.148823027849955,13.468065763721313,199900
2024-02-06,13.368301391601562,13.438136450808722,13.04905866866036,13.268538516391617,171600
2024-02-07,13.46806526184082,13.537899369855747,13.198703499923187,13.368301434889467,370100
2024-02-08,13.966882705688477,14.2462200934051,13.448112319939225,13.468065466199603,440200
2024-02-09,13.547876358032227,13.827213750071069,13.218657050988991,13.827213750071069,176300
2024-02-12,13.627686500549316,13.747402520956943,13.468065140005814,13.537899247389007,168400
2024-02-13,12.929343223571777,13.478042391635803,12.759745281598926,13.35832636519939,334200
2024-02-14,13.168774604797363,13.29846719801003,12.89941379690825,12.979224477128607,273500
2024-02-15,13.647640228271484,13.667592423481018,13.198703943326976,13.348349688781278,231400
2024-02-16,13.9369535446167,14.06664613739596,13.378277833522835,13.607734251953328,239500
2024-02-20,13.986835479736328,14.216290947114203,13.677568380859242,14.036716441223097,302800
2024-02-21,14.116527557373047,14.136480703718805,13.57780497447658,13.996811533553652,247700
2024-02-22,13.877095222473145,14.455723134664927,13.597757839343613,13.607734412309973,284700
2024-02-23,13.627686500549316,13.837189774117252,13.168774613277568,13.807261006869934,569900
2024-02-26,13.428159713745117,13.537899160560345,13.268538354225386,13.398230946689756,239800
